Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score
3,84,90,4,7,Medium,Good,Private,No,Low,Medium,,19.0,1,Neutral,Low,Yes,1,Poor,89
3,48,94,3,9,Medium,Average,Private,No,Low,Medium,School,2.0,6,Negative,High,Yes,3,Good,68
6,81,96,2,9,Low,Good,Public,No,Low,Low,School,16.0,4,Neutral,High,No,1,Good,88
1,71,75,0,9,Medium,Average,Public,No,Low,Medium,Graduate,27.0,5,Positive,High,Yes,5,Good,68
7,72,72,1,5,Low,,Private,No,Medium,High,Postgraduate,5.0,4,Neutral,Medium,No,5,Good,73
1,42,88,2,8,High,,Public,Yes,Medium,Low,,28.0,1,Positive,High,Yes,3,Poor,65
5,69,75,1,3,Low,Good,Private,Yes,Medium,Medium,Graduate,25.0,6,Negative,High,Yes,1,Good,73
10,89,64,3,5,Low,Poor,Private,Yes,Low,Medium,School,,3,Neutral,High,No,1,Good,82
8,51,68,0,8,Low,Poor,Public,Yes,High,High,Postgraduate,6.0,1,Neutral,High,No,2,Poor,72
4,68,80,3,7,High,,Public,Yes,High,Low,School,,4,Negative,Medium,No,4,Good,74
5,42,33,3,7,Medium,Average,Private,Yes,High,High,Graduate,7.0,0,Positive,Low,Yes,3,Average,43
4,65,80,3,7,Medium,Good,Public,Yes,High,High,School,6.0,1,Neutral,Low,Yes,1,Poor,74
4,96,34,3,8,Medium,Poor,Private,No,Medium,Low,Graduate,3.0,0,Positive,Medium,No,3,Good,67
8,69,84,1,9,Low,Poor,Public,No,High,High,,25.0,0,Neutral,Low,No,2,Good,82
2,48,49,4,7,Low,Average,Private,No,Medium,Low,Postgraduate,21.0,5,Negative,High,No,3,Good,44
1,65,53,1,4,Medium,Average,Private,No,High,High,Graduate,15.0,2,Neutral,Low,Yes,5,Poor,57
3,41,65,2,7,High,Average,Private,No,High,Low,Postgraduate,28.0,2,Positive,Low,Yes,1,Good,58
9,42,63,3,8,High,Poor,Public,Yes,Medium,Medium,Graduate,16.0,2,Neutral,High,Yes,2,Good,70
4,85,83,2,9,High,Good,Private,Yes,Medium,Low,Postgraduate,17.0,0,Negative,High,Yes,5,Good,90
10,43,63,1,5,High,Average,Private,No,High,High,School,9.0,4,Positive,High,No,4,Poor,72
5,64,46,3,7,Low,Poor,Public,No,Low,High,Graduate,,2,Negative,Medium,No,4,Poor,55
2,90,34,1,9,Medium,Good,Public,No,High,Medium,School,,5,Positive,Low,No,3,Average,56
4,52,47,3,9,High,Average,Private,Yes,High,Medium,Graduate,17.0,2,Positive,Medium,No,1,Good,54
2,78,84,1,6,Low,Good,Public,Yes,High,Medium,Graduate,29.0,3,Neutral,Medium,No,4,Average,73
2,83,82,0,4,Low,Good,Private,No,Medium,Low,Graduate,7.0,5,Negative,High,No,2,Poor,76
4,74,79,4,8,Low,Poor,Private,Yes,High,Low,Postgraduate,,0,Negative,Low,No,1,Average,77
6,94,74,4,7,Medium,Poor,Private,No,Low,Low,,2.0,0,Neutral,Medium,No,2,Poor,87
7,62,42,3,6,Low,Poor,Public,No,High,Low,School,26.0,2,Positive,High,No,2,Average,57
10,48,45,0,8,Medium,Good,Public,Yes,Low,Low,School,6.0,3,Neutral,Medium,Yes,2,Poor,60
3,41,42,2,5,Medium,Average,Public,No,Low,High,Graduate,10.0,3,Negative,Low,No,4,Average,40
3,93,49,0,4,Medium,Average,Private,Yes,Low,High,School,17.0,1,Positive,High,Yes,3,Good,65
10,80,95,3,9,Medium,Average,Private,No,High,High,Graduate,14.0,1,Negative,Medium,No,4,Average,95
6,83,76,0,7,Low,Poor,Private,No,Medium,Low,,3.0,2,Positive,Low,Yes,4,Good,77
3,70,48,2,5,Low,Average,Public,Yes,Medium,Medium,Graduate,,5,Positive,Low,No,3,Good,57
2,83,74,3,8,Low,Average,Public,Yes,High,High,Postgraduate,16.0,0,Neutral,Medium,Yes,5,Average,72
8,86,66,4,6,High,Poor,Private,Yes,High,High,School,16.0,5,Negative,Low,No,2,Poor,81
5,41,83,0,8,High,,Public,No,Low,Low,Postgraduate,5.0,3,Neutral,High,Yes,5,Good,68
1,71,35,4,8,Medium,Average,Public,No,High,Low,Graduate,16.0,3,Neutral,High,Yes,2,Average,52
3,57,43,4,4,Medium,Average,Public,No,Medium,Low,Graduate,,3,Neutral,High,Yes,5,Average,49
10,52,33,1,7,Medium,Good,Public,No,High,High,Postgraduate,27.0,0,Negative,High,No,2,Good,59
8,85,84,2,5,Medium,Good,Private,No,High,Medium,School,,6,Negative,Medium,No,3,Poor,89
4,44,63,0,4,Medium,Poor,Private,Yes,High,Low,Postgraduate,24.0,1,Positive,Medium,Yes,3,Good,57
7,97,56,4,6,High,,Private,Yes,Low,Low,Postgraduate,,6,Positive,Low,Yes,3,Average,82
10,81,36,4,9,Medium,Good,Public,No,High,Medium,School,6.0,2,Positive,Low,No,1,Average,77
2,83,32,2,7,Low,Poor,Public,Yes,High,Medium,Graduate,18.0,1,Positive,Low,Yes,2,Good,52
7,49,76,4,9,Medium,Poor,Public,Yes,High,Medium,School,12.0,3,Neutral,High,Yes,3,Poor,72
5,95,31,4,4,Low,Average,Private,No,Medium,Low,School,21.0,5,Positive,Medium,No,5,Good,67
5,82,54,4,6,Low,Poor,Public,Yes,Low,Low,Postgraduate,7.0,5,Negative,Medium,Yes,1,Good,63
6,64,89,4,6,Low,Poor,Private,No,Low,High,Graduate,17.0,3,Positive,Low,No,1,Good,81
9,73,53,1,5,Low,Average,Private,No,Medium,High,Graduate,10.0,0,Negative,Medium,No,3,Poor,73
6,76,44,1,8,Medium,Average,Private,Yes,Low,High,Graduate,9.0,6,Neutral,Medium,Yes,4,Good,64
8,69,43,3,6,Medium,Good,Public,Yes,Medium,High,Postgraduate,9.0,0,Neutral,Low,Yes,3,Good,71
7,46,83,0,6,Medium,Poor,Private,No,Low,High,,24.0,6,Negative,Medium,No,4,Average,71
9,45,35,2,8,Medium,Average,Private,No,Low,High,,11.0,6,Neutral,High,Yes,3,Average,52
4,93,47,3,3,Medium,Poor,Public,No,Low,Low,School,,0,Negative,Medium,Yes,2,Poor,63
2,94,49,1,6,High,Poor,Private,Yes,High,High,Postgraduate,14.0,2,Negative,High,No,5,Poor,67
7,42,91,1,7,Low,Good,Public,No,Low,Low,,,4,Negative,High,No,4,Average,76
6,52,69,1,9,Low,Good,Private,No,High,Low,Postgraduate,7.0,5,Neutral,Low,No,4,Good,72
1,42,68,3,9,High,Good,Public,No,High,Medium,School,17.0,6,Positive,Low,No,1,Poor,62
11,65,81,1,4,High,Good,Private,No,High,Low,Graduate,23.0,4,Neutral,Low,No,4,Poor,93
9,96,61,3,8,Medium,Good,Private,Yes,Medium,Low,Postgraduate,9.0,5,Neutral,Medium,No,2,Poor,85
9,63,56,1,8,Medium,,Private,No,Low,Low,School,19.0,6,Neutral,Low,Yes,5,Average,74
2,92,81,4,8,Low,Good,Public,Yes,Low,Medium,Postgraduate,25.0,6,Neutral,High,Yes,4,Good,84
3,45,92,4,7,Medium,Average,Public,No,Low,Low,Postgraduate,21.0,6,Neutral,Low,No,1,Poor,69
5,82,92,0,8,Low,Good,Public,No,High,Medium,School,,2,Positive,High,No,5,Average,86
5,99,46,1,7,Medium,Average,Private,No,Low,High,School,9.0,5,Positive,High,Yes,4,Average,71
1,97,78,0,9,Medium,,Public,No,High,Low,Postgraduate,13.0,2,Negative,Medium,Yes,2,Average,79
8,88,52,3,5,Low,Good,Public,Yes,High,High,Postgraduate,14.0,2,Positive,High,No,2,Poor,78
8,81,42,0,3,High,Average,Public,Yes,High,Low,School,8.0,1,Neutral,Medium,No,5,Average,71
4,51,52,1,8,High,Good,Public,Yes,High,Medium,Graduate,14.0,5,Negative,Medium,Yes,1,Average,54
7,88,86,3,9,Medium,Average,Private,No,Low,High,Graduate,13.0,2,Neutral,Low,No,2,Good,91
11,75,91,3,3,High,Average,Private,No,High,Low,Graduate,27.0,1,Negative,Medium,No,3,Average,90
10,41,83,4,9,Medium,Good,Private,Yes,Medium,Low,Postgraduate,23.0,5,Neutral,High,No,3,Poor,80
3,50,49,3,8,High,Average,Private,Yes,Medium,Medium,Graduate,10.0,0,Negative,High,Yes,4,Average,57
6,78,81,3,7,High,Poor,Private,Yes,Medium,Low,Postgraduate,22.0,5,Negative,High,No,2,Good,88
10,73,52,0,9,Low,Good,Private,No,High,High,School,2.0,3,Positive,High,No,3,Average,73
10,65,64,3,4,High,Poor,Public,No,Low,Medium,Graduate,12.0,4,Negative,High,Yes,4,Poor,75
9,57,96,2,3,Medium,Average,Private,Yes,Low,High,School,16.0,3,Positive,Low,No,4,Average,81
1,60,63,4,3,Low,Average,Public,Yes,High,High,Graduate,7.0,4,Positive,Low,Yes,4,Poor,52
5,75,62,4,7,High,Good,Private,Yes,High,Low,Graduate,2.0,0,Positive,Medium,Yes,1,Average,76
4,79,75,3,3,Low,Poor,Public,No,High,Low,School,16.0,4,Negative,High,Yes,4,Average,69
8,91,74,0,5,High,Poor,Private,No,Medium,Medium,,,0,Positive,High,No,1,Poor,84
11,85,48,4,7,Medium,Good,Private,No,High,Medium,Postgraduate,6.0,5,Positive,Medium,Yes,3,Average,78
1,83,44,4,3,Medium,Poor,Private,No,High,Medium,School,16.0,3,Negative,Low,Yes,4,Poor,52
9,61,95,2,3,Low,Good,Private,No,Low,High,Postgraduate,25.0,1,Negative,Medium,No,3,Average,83
6,92,68,3,3,High,Good,Public,Yes,Low,High,Postgraduate,13.0,5,Neutral,High,Yes,2,Poor,81
4,98,47,4,7,High,Average,Public,Yes,Medium,High,School,10.0,6,Neutral,Low,Yes,1,Average,74
9,69,99,4,4,Low,,Private,No,Medium,High,Graduate,27.0,5,Negative,Medium,Yes,3,Average,90
11,89,88,4,6,Low,,Private,Yes,Medium,Low,Graduate,20.0,4,Positive,Medium,No,4,Average,95
5,82,61,4,9,Medium,Good,Public,No,Medium,Medium,Graduate,9.0,6,Negative,High,Yes,3,Good,73
5,99,50,0,8,Low,Good,Private,Yes,High,Low,School,2.0,6,Negative,High,No,4,Average,76
5,69,69,1,9,High,,Private,Yes,High,Low,Graduate,21.0,5,Neutral,Low,Yes,5,Good,73
1,47,56,2,3,Low,,Public,Yes,Medium,High,Postgraduate,16.0,2,Neutral,High,No,1,Poor,40
1,73,31,0,9,Medium,Average,Public,No,Medium,Medium,School,3.0,1,Negative,Medium,No,2,Good,49
8,96,68,2,6,Low,Poor,Public,Yes,Low,High,Postgraduate,22.0,1,Positive,High,Yes,3,Average,83
8,86,85,4,6,High,Average,Public,No,Low,High,Graduate,2.0,0,Negative,Medium,No,3,Average,90
6,48,42,2,3,Low,Good,Private,Yes,Low,Medium,Graduate,29.0,3,Negative,High,No,5,Good,51
11,90,85,3,3,Low,Poor,Private,Yes,Medium,Medium,Graduate,10.0,2,Neutral,Low,No,4,Good,95
4,59,95,3,8,Low,Poor,Private,Yes,Low,Low,Postgraduate,25.0,3,Positive,Low,No,2,Good,80
2,79,85,1,6,Medium,Good,Private,Yes,Medium,High,Graduate,20.0,6,Neutral,Low,Yes,4,Average,80
2,64,57,1,4,Medium,Good,Public,Yes,High,High,Postgraduate,23.0,6,Positive,High,Yes,4,Poor,54
9,58,93,2,6,Medium,Average,Private,Yes,Medium,High,School,5.0,3,Negative,Low,Yes,3,Good,80
5,44,93,0,4,Medium,Average,Private,No,High,Medium,School,8.0,1,Negative,Medium,No,3,Poor,67
4,50,85,0,9,High,Good,Public,No,High,High,School,12.0,2,Positive,High,Yes,3,Good,77
10,54,70,4,5,High,Good,Private,No,Medium,High,Graduate,4.0,4,Positive,Low,No,1,Good,73
1,47,70,0,4,Medium,Average,Public,No,Low,High,Postgraduate,14.0,6,Negative,High,Yes,1,Good,50
7,58,33,1,8,Medium,Poor,Public,No,Medium,High,Graduate,23.0,2,Positive,High,No,3,Poor,56
3,62,86,0,7,Medium,Poor,Public,No,Low,Low,,27.0,0,Negative,Medium,No,4,Average,75
6,66,59,4,9,Low,Poor,Public,Yes,High,Medium,School,15.0,5,Positive,High,Yes,2,Average,68
5,79,75,3,3,High,Average,Public,Yes,High,Low,Graduate,,1,Neutral,High,No,2,Average,81
5,71,85,0,5,Low,Good,Private,Yes,High,Medium,,3.0,2,Positive,High,No,4,Average,80
11,65,60,0,6,Medium,Poor,Private,No,High,High,Graduate,24.0,0,Neutral,Medium,Yes,5,Good,74
5,66,36,1,4,High,,Private,No,Medium,Medium,Postgraduate,22.0,4,Neutral,Low,No,4,Poor,57
1,58,83,2,5,Medium,Average,Public,Yes,High,Low,Graduate,15.0,3,Neutral,Low,No,2,Good,65
1,89,37,3,9,Low,Average,Public,Yes,Low,High,School,4.0,3,Neutral,High,No,5,Average,50
3,81,84,2,7,High,Good,Private,Yes,Low,Low,School,15.0,0,Neutral,Low,Yes,5,Average,84
10,68,98,4,4,Low,Good,Public,Yes,High,Low,Postgraduate,25.0,1,Neutral,High,Yes,2,Good,92
4,78,73,4,8,High,Good,Public,No,Medium,Low,Graduate,9.0,3,Neutral,Low,Yes,5,Good,74
5,99,42,2,6,Medium,Good,Public,Yes,High,Medium,Postgraduate,18.0,1,Positive,Low,Yes,1,Average,67
2,80,49,1,6,High,Poor,Private,No,High,Low,Graduate,26.0,1,Positive,Medium,Yes,3,Good,60
8,72,61,1,4,Low,Good,Public,No,Low,Medium,School,13.0,3,Neutral,Medium,No,5,Average,77
11,58,89,1,7,Low,Poor,Public,Yes,Medium,Low,,9.0,4,Neutral,Medium,No,5,Poor,89
11,76,79,3,3,Low,Average,Public,No,Medium,Low,Graduate,4.0,5,Neutral,Low,Yes,1,Poor,80
2,58,56,4,3,Low,Poor,Private,No,Low,Medium,School,,2,Positive,Low,No,1,Good,52
9,72,54,4,6,Medium,Good,Public,Yes,Low,Medium,School,13.0,5,Positive,Low,Yes,4,Poor,76
2,86,81,4,9,Low,Poor,Private,No,Low,Low,School,10.0,3,Negative,Low,Yes,2,Average,77
9,55,97,3,9,Medium,Average,Public,No,Medium,Low,Graduate,8.0,2,Negative,Medium,Yes,4,Average,83
7,62,50,4,7,High,Good,Public,Yes,Low,High,Postgraduate,14.0,1,Negative,Medium,No,2,Poor,68
8,46,47,2,6,Low,,Private,Yes,Low,Low,Graduate,16.0,6,Positive,Low,No,1,Average,58
11,65,68,0,3,High,Average,Private,Yes,Low,Low,,26.0,4,Positive,Low,No,3,Poor,80
2,71,44,3,6,High,,Private,Yes,High,High,Graduate,19.0,1,Positive,Medium,Yes,2,Good,58
7,51,82,0,4,Medium,Poor,Public,Yes,Medium,Low,Graduate,,6,Positive,Low,Yes,2,Average,65
6,47,67,2,9,Low,Average,Private,No,Medium,Low,Graduate,7.0,4,Neutral,High,No,1,Poor,61
4,44,77,1,9,Medium,Good,Private,Yes,High,Medium,Graduate,12.0,6,Negative,Medium,No,5,Good,66
7,81,81,1,8,Low,,Private,Yes,Medium,Medium,,,5,Negative,Medium,Yes,4,Good,85
4,67,57,1,4,High,Poor,Public,No,Low,Medium,,15.0,5,Negative,Low,No,3,Poor,64
2,92,45,3,8,Medium,Average,Private,No,High,Low,,15.0,5,Neutral,High,Yes,2,Good,64
10,44,45,1,7,Low,Average,Public,No,Low,Medium,,18.0,0,Neutral,Low,Yes,5,Good,59
7,88,64,3,3,High,Average,Public,Yes,Low,Low,Graduate,2.0,5,Negative,High,Yes,1,Poor,73
8,65,46,3,7,Medium,Average,Public,Yes,Low,High,Postgraduate,14.0,4,Neutral,Low,Yes,2,Good,69
2,44,81,0,7,Medium,Poor,Private,Yes,Low,Medium,School,20.0,4,Positive,Medium,Yes,5,Average,60
5,61,41,1,3,Medium,Good,Private,No,Medium,High,School,26.0,5,Neutral,Medium,No,4,Average,57
1,54,77,4,5,Medium,Average,Private,Yes,High,Low,,7.0,1,Negative,High,Yes,1,Poor,59
7,52,51,1,5,High,,Private,No,High,Low,Graduate,,5,Negative,High,Yes,5,Good,61
8,67,78,1,6,High,,Public,No,Low,High,School,2.0,5,Neutral,Low,Yes,5,Poor,80
6,72,81,1,5,High,Average,Private,No,High,High,Postgraduate,28.0,3,Positive,Medium,Yes,2,Good,75
5,82,30,4,4,High,Average,Private,No,High,High,Postgraduate,2.0,6,Positive,Low,Yes,4,Good,59
6,62,95,4,9,Low,,Public,No,Low,High,Postgraduate,5.0,3,Negative,Low,No,1,Poor,84
2,72,93,3,8,High,Average,Private,No,Low,Medium,School,3.0,6,Negative,Medium,No,1,Average,85
1,82,37,4,9,Medium,Average,Public,Yes,Medium,High,School,3.0,2,Neutral,High,No,4,Good,60
7,57,54,3,7,Medium,Good,Public,No,Medium,Medium,Postgraduate,1.0,0,Positive,Medium,No,3,Good,70
7,89,95,0,9,Medium,Poor,Private,Yes,Low,High,School,19.0,4,Neutral,Medium,No,2,Average,93
10,92,99,3,6,Medium,Good,Public,No,Medium,High,Postgraduate,20.0,2,Negative,High,Yes,5,Average,95
11,69,80,1,7,Low,Good,Public,No,Medium,Medium,Graduate,,5,Neutral,Medium,Yes,2,Good,86
10,65,82,2,3,Medium,Good,Public,No,High,Low,Graduate,22.0,4,Negative,High,No,4,Good,83
2,55,44,2,9,Medium,Good,Private,No,Low,Low,,27.0,4,Negative,Medium,No,5,Good,56
2,52,79,1,5,Medium,Average,Private,No,High,Low,School,6.0,0,Neutral,High,Yes,3,Average,59
1,78,67,3,3,High,,Private,No,High,Low,Graduate,28.0,0,Neutral,High,Yes,4,Good,63
10,72,69,1,6,High,Poor,Public,No,Low,Medium,,21.0,6,Negative,Low,No,2,Good,80
8,65,95,4,8,Low,Average,Private,Yes,High,Low,,20.0,2,Positive,Medium,No,5,Good,88
8,87,68,3,4,Low,Good,Private,No,Medium,Medium,,6.0,3,Positive,Low,No,1,Average,83
1,40,46,1,5,Low,Good,Public,Yes,Medium,Medium,Postgraduate,13.0,4,Negative,Medium,Yes,5,Good,41
11,88,36,4,3,Medium,Poor,Private,No,Medium,Medium,Graduate,,1,Neutral,Low,No,5,Average,72
8,77,68,4,8,Low,,Private,No,Medium,Medium,Postgraduate,21.0,2,Negative,Low,No,4,Poor,82
9,41,97,3,9,High,Good,Public,Yes,Medium,Medium,Graduate,10.0,4,Positive,Low,Yes,3,Good,85
4,88,64,0,5,High,Good,Private,Yes,High,High,,1.0,6,Negative,Low,No,5,Poor,78
1,45,80,0,7,High,Good,Public,No,Low,Medium,Graduate,16.0,0,Negative,Low,Yes,5,Average,65
1,85,76,4,4,Medium,Good,Private,Yes,High,Low,Postgraduate,14.0,5,Negative,Medium,Yes,3,Good,67
3,89,65,0,9,Medium,Good,Private,No,High,Medium,Postgraduate,28.0,0,Positive,Low,Yes,3,Average,77
5,77,93,4,8,Low,,Private,Yes,Medium,Low,Postgraduate,,0,Positive,Low,Yes,5,Average,84
5,81,42,0,5,Low,Poor,Public,Yes,Medium,Medium,,14.0,0,Neutral,Medium,Yes,1,Good,61
9,63,47,4,9,Low,Average,Private,Yes,High,Low,School,25.0,5,Neutral,High,Yes,1,Good,66
10,57,50,4,4,Low,Average,Private,Yes,High,Medium,School,10.0,3,Positive,Medium,No,1,Average,65
2,66,94,4,8,Medium,,Public,Yes,Low,High,Graduate,20.0,3,Positive,High,No,4,Poor,80
2,80,37,4,7,High,Average,Private,No,Low,Low,Postgraduate,22.0,4,Negative,Medium,Yes,4,Good,60
6,47,77,2,7,Medium,Good,Public,Yes,Low,Low,School,5.0,4,Neutral,Low,Yes,1,Average,70
9,67,72,0,3,Low,Average,Private,Yes,Low,Medium,School,2.0,2,Neutral,High,No,1,Good,70
1,49,82,4,6,Medium,Good,Private,Yes,Low,Low,School,17.0,0,Negative,Low,No,1,Good,68
9,56,56,1,3,High,,Private,No,Medium,Medium,Postgraduate,1.0,6,Neutral,High,No,3,Average,64
9,94,48,3,4,Medium,Average,Private,No,Low,High,School,1.0,0,Positive,Low,No,2,Average,70
9,68,52,1,3,High,Average,Private,Yes,High,High,Postgraduate,,5,Positive,High,Yes,4,Poor,67
5,97,79,1,8,Low,Good,Private,No,Medium,Medium,School,26.0,1,Positive,Low,No,4,Good,84
9,45,80,2,5,Medium,Poor,Public,No,High,Medium,School,7.0,1,Positive,High,No,4,Poor,74
11,53,72,0,8,Low,Average,Private,No,Medium,High,Postgraduate,7.0,0,Negative,High,No,2,Poor,76
4,61,80,2,3,Low,Average,Public,Yes,Medium,Low,Postgraduate,25.0,1,Neutral,Low,Yes,5,Poor,65
2,93,98,0,6,High,,Private,Yes,Low,Low,Postgraduate,16.0,1,Negative,Medium,No,4,Poor,83
6,45,70,4,8,High,Average,Public,No,High,Low,School,19.0,0,Negative,Medium,Yes,5,Poor,77
4,65,40,2,8,Low,Good,Public,No,Low,High,Graduate,9.0,3,Positive,Low,Yes,3,Poor,57
6,78,81,3,8,High,Poor,Public,Yes,High,Medium,Graduate,1.0,3,Negative,Low,Yes,1,Poor,81
3,51,52,0,6,High,Poor,Private,Yes,High,High,Postgraduate,18.0,6,Negative,Medium,Yes,1,Average,55
6,74,78,2,8,Low,Good,Private,No,Low,Low,Postgraduate,7.0,4,Negative,High,Yes,3,Poor,79
2,53,67,3,4,Low,Good,Public,Yes,Low,Medium,Graduate,28.0,3,Positive,Low,No,1,Average,60
2,61,76,1,7,High,Good,Public,No,Medium,Medium,Graduate,,0,Negative,Low,Yes,3,Average,69
9,90,36,4,6,Low,Poor,Public,Yes,Medium,Low,Postgraduate,,6,Positive,Low,No,1,Average,69
7,62,95,4,4,Low,Good,Public,Yes,Medium,Medium,Postgraduate,27.0,1,Positive,Low,Yes,3,Average,84
3,87,91,1,6,High,Average,Public,Yes,High,Low,Postgraduate,20.0,0,Neutral,Medium,No,3,Average,87
11,46,58,2,6,Medium,Average,Public,Yes,Low,High,Graduate,,2,Negative,Medium,Yes,1,Good,63
1,79,67,1,7,Medium,,Private,No,Medium,Medium,Graduate,11.0,6,Positive,Low,No,5,Average,61
8,89,62,3,5,Low,Average,Private,Yes,Low,Low,Graduate,18.0,1,Neutral,Medium,Yes,4,Good,75
6,64,58,0,4,High,Average,Public,Yes,Medium,Low,Postgraduate,11.0,0,Neutral,Medium,Yes,4,Good,67
7,52,52,2,6,Low,Poor,Private,Yes,Medium,High,School,,6,Neutral,Medium,Yes,2,Average,57
9,60,32,0,9,High,Good,Public,Yes,Low,Medium,Graduate,13.0,4,Positive,High,Yes,2,Average,66
5,80,74,1,6,Low,Average,Public,Yes,Medium,Medium,School,1.0,4,Positive,Low,No,1,Average,77
1,49,37,4,3,Low,Good,Private,No,Low,Medium,School,25.0,1,Negative,Low,Yes,4,Good,40
10,92,58,0,8,High,Good,Public,No,Medium,Medium,Graduate,10.0,3,Positive,Low,No,2,Good,92
7,94,31,0,5,Low,Average,Private,Yes,Low,High,Graduate,15.0,4,Negative,Low,No,4,Poor,62
5,98,79,4,7,Medium,Average,Public,No,Medium,High,Graduate,19.0,5,Positive,Medium,Yes,3,Average,79
3,48,94,0,9,Medium,Poor,Public,Yes,Medium,Medium,Postgraduate,29.0,2,Neutral,Medium,Yes,5,Poor,67
9,54,49,0,4,High,Poor,Private,No,High,Low,School,17.0,5,Positive,High,Yes,3,Good,65
1,91,81,4,6,Low,Poor,Private,Yes,Low,Medium,School,,5,Negative,Low,No,2,Good,70
1,41,66,4,8,Medium,,Private,Yes,Medium,Medium,School,22.0,6,Negative,High,No,2,Good,50
1,64,56,1,4,High,Poor,Public,No,High,Low,School,8.0,5,Neutral,High,No,1,Poor,55
3,52,76,1,7,High,Good,Private,Yes,Low,Medium,Postgraduate,,1,Neutral,High,Yes,5,Poor,69
6,73,35,0,5,High,Poor,Public,Yes,Medium,Low,Graduate,7.0,2,Neutral,High,No,5,Average,62
10,90,89,2,3,Medium,Poor,Public,Yes,Medium,High,Graduate,18.0,1,Negative,Medium,No,4,Poor,91
11,97,74,1,5,Medium,,Private,Yes,Medium,Low,Postgraduate,27.0,3,Positive,High,No,1,Average,91
3,73,73,1,3,Medium,Good,Public,Yes,Low,High,,4.0,0,Positive,Medium,Yes,5,Average,63
8,74,47,2,4,Medium,Good,Private,No,High,Medium,School,6.0,5,Negative,Medium,No,2,Poor,70
10,77,94,2,5,Low,Average,Private,No,Medium,Low,Postgraduate,2.0,1,Negative,High,Yes,3,Poor,93
2,42,54,4,5,Medium,Poor,Public,No,High,Low,Postgraduate,,0,Negative,Low,Yes,3,Average,51
9,81,56,1,5,High,,Public,No,Low,Medium,School,21.0,1,Negative,Medium,Yes,5,Poor,80
3,95,36,3,7,Low,Good,Private,Yes,Low,High,Postgraduate,12.0,6,Positive,Low,Yes,3,Average,61
5,98,73,3,4,Medium,Good,Private,Yes,Medium,Low,School,5.0,3,Neutral,Medium,Yes,2,Good,83
10,45,58,0,9,Low,Average,Public,No,Medium,Low,Postgraduate,19.0,2,Positive,Medium,No,4,Good,66
8,94,73,1,3,High,,Private,Yes,Medium,Medium,Graduate,2.0,0,Negative,High,No,2,Average,83
2,87,65,3,5,Medium,,Public,No,High,High,School,,2,Neutral,High,No,5,Good,68
6,88,48,1,4,Low,Poor,Public,Yes,High,Medium,Graduate,23.0,1,Positive,Low,No,2,Poor,72
5,58,35,1,9,Medium,Good,Private,Yes,Medium,Low,Postgraduate,8.0,6,Negative,Medium,No,2,Average,55
10,42,54,3,8,Low,Average,Public,No,Low,Medium,Postgraduate,4.0,5,Negative,Low,Yes,3,Average,62
9,57,60,1,7,Low,Average,Private,No,Low,Medium,Postgraduate,4.0,1,Negative,High,No,4,Good,64
5,78,38,2,7,High,Good,Private,No,Medium,High,Postgraduate,11.0,3,Positive,High,No,1,Average,63
2,48,66,0,8,High,Good,Public,No,High,High,Postgraduate,14.0,1,Positive,Low,Yes,5,Good,64
5,91,56,4,4,Medium,,Public,No,Low,Medium,Graduate,9.0,3,Positive,Low,Yes,5,Average,68
4,51,42,3,3,Medium,Poor,Public,No,High,Medium,School,20.0,1,Negative,Medium,Yes,2,Poor,52
11,44,70,4,4,Low,Poor,Private,No,Medium,Medium,Postgraduate,26.0,5,Positive,Low,Yes,3,Good,69
7,42,95,0,4,High,Average,Private,Yes,High,Low,Postgraduate,14.0,2,Neutral,Low,No,3,Poor,76
6,50,53,2,6,High,Average,Private,No,High,High,Postgraduate,,1,Neutral,High,Yes,5,Average,62
2,96,73,2,9,Low,,Private,No,High,Low,Graduate,3.0,0,Negative,High,No,1,Good,79
11,69,89,2,7,High,Poor,Private,No,Low,High,Postgraduate,27.0,4,Neutral,Low,No,1,Poor,91
11,43,38,2,3,High,,Private,Yes,High,High,Postgraduate,13.0,0,Negative,High,No,4,Average,56
5,44,31,3,6,Low,Poor,Public,Yes,High,Low,Postgraduate,14.0,6,Positive,High,Yes,2,Good,43
7,40,85,3,8,Medium,Poor,Public,Yes,High,Low,School,17.0,0,Negative,High,No,5,Poor,74
11,66,59,1,4,Medium,Poor,Public,No,Medium,Medium,School,3.0,3,Negative,High,Yes,1,Good,68
7,67,51,1,8,Medium,Poor,Private,Yes,High,High,Postgraduate,15.0,1,Positive,Medium,Yes,1,Average,69
5,68,42,0,7,Low,Good,Public,No,High,High,School,21.0,2,Negative,Medium,No,3,Poor,58
9,57,45,1,6,Medium,,Private,No,Low,High,Postgraduate,29.0,6,Negative,Low,No,4,Average,59
4,51,74,0,9,Low,Average,Public,Yes,Medium,Medium,Postgraduate,2.0,1,Neutral,Medium,Yes,5,Poor,61
11,52,94,0,6,Low,Poor,Public,No,High,High,School,21.0,4,Negative,Low,No,4,Average,87
3,80,40,0,3,High,Good,Public,Yes,Low,High,School,,1,Neutral,Medium,No,1,Average,62
